Event_id,Sport,Event
243,Swimming,Swimming Women's 100 metres Breaststroke
244,Judo,Judo Women's Half-Heavyweight
245,Athletics,Athletics Women's Discus Throw
246,Rowing,Rowing Women's Single Sculls
247,Athletics,Athletics Women's 400 metres Hurdles
248,Athletics,"Athletics Men's 5,000 metres"
249,Athletics,Athletics Men's 200 metres
250,Weightlifting,Weightlifting Men's Middleweight
251,Fencing,"Fencing Men's Sabre, Individual"
252,Athletics,Athletics Men's 50 kilometres Walk
253,Boxing,Boxing Women's Lightweight
254,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined
255,Cycling,Cycling Women's Team Pursuit
256,Sailing,Sailing Mixed 10 metres
257,Boxing,Boxing Men's Light-Flyweight
258,Badminton,Badminton Men's Doubles
259,Shooting,"Shooting Men's Trap, Team"
260,Boxing,Boxing Men's Light-Heavyweight
261,Cycling,"Cycling Women's Road Race, Individual"
262,Swimming,Swimming Men's 400 metres Freestyle
263,Diving,Diving Women's Plain High
264,Cycling,Cycling Women's Individual Time Trial
265,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres"
266,Rowing,"Rowing Men's Coxed Fours, Outriggers"
267,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
268,Archery,Archery Women's Team
269,Weightlifting,Weightlifting Men's Lightweight
270,Weightlifting,Weightlifting Men's Light-Heavyweight
271,Swimming,Swimming Men's 100 metres Butterfly
272,Shooting,"Shooting Men's Running Target, Single Shot, Team"
273,Judo,Judo Men's Extra-Lightweight
274,Judo,Judo Men's Middleweight
275,Rowing,Rowing Men's Single Sculls
276,Athletics,Athletics Women's 100 metres
277,Sailing,Sailing Men's Windsurfer
278,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
279,Shooting,"Shooting Men's Running Target, 10 metres"
280,Athletics,"Athletics Women's 3,000 metres Steeplechase"
281,Athletics,Athletics Women's High Jump
282,Gymnastics,Gymnastics Women's Team Portable Apparatus
283,Gymnastics,Gymnastics Women's Uneven Bars
284,Racquets,Racquets Men's Singles
285,Racquets,Racquets Men's Doubles
286,Shooting,"Shooting Women's Sporting Pistol, 25 metres"
287,Swimming,Swimming Women's 200 metres Backstroke
288,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
289,Cycling,"Cycling Men's 5,000 metres"
290,Sailing,Sailing Mixed 0.5-1 Ton
291,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
292,Croquet,"Croquet Mixed Singles, One Ball"
293,Croquet,Croquet Mixed Doubles
294,Athletics,Athletics Men's Decathlon
295,Archery,Archery Women's Individual
296,Shooting,"Shooting Men's Running Target, 50 metres"
297,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
298,Cycling,Cycling Men's Keirin
299,Badminton,Badminton Men's Singles
300,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
301,Shooting,"Shooting Men's Free Pistol, 50 yards, Team"
302,Athletics,"Athletics Women's 10,000 metres"
303,Fencing,"Fencing Men's epee, Masters, Individual"
304,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual"
305,Sailing,Sailing Women's Three Person Keelboat
306,Tennis,Tennis Women's Singles
307,Tennis,Tennis Mixed Doubles
308,Fencing,"Fencing Women's epee, Team"
309,Swimming,Swimming Women's 200 metres Breaststroke
310,Swimming,Swimming Women's 200 metres Freestyle
311,Synchronized Swimming,Synchronized Swimming Women's Solo
312,Athletics,Athletics Men's 400 metres
313,Shooting,"Shooting Men's Free Pistol, 50 metres"
314,Shooting,"Shooting Men's Air Pistol, 10 metres"
315,Swimming,Swimming Men's 200 metres Butterfly
316,Athletics,Athletics Men's Javelin Throw
317,Athletics,"Athletics Men's 3,000 metres, Team"
318,Shooting,Shooting Women's Skeet
319,Tennis,Tennis Women's Doubles
320,Archery,Archery Men's Individual
321,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
322,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
323,Swimming,Swimming Men's 4 x 250 metres Freestyle Relay
324,Athletics,"Athletics Women's 1,500 metres"
325,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
326,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
327,Shooting,Shooting Mixed Trap
328,Cycling,"Cycling Men's Road Race, Individual"
329,Diving,Diving Women's Springboard
330,Boxing,Boxing Men's Light-Middleweight
331,Equestrianism,"Equestrianism Mixed Dressage, Individual"
332,Equestrianism,"Equestrianism Mixed Dressage, Team"
333,Cycling,Cycling Women's 500 metres Time Trial
334,Shooting,Shooting Women's Trap
335,Rowing,Rowing Men's 6-Man Naval Rowing Boats
336,Swimming,Swimming Men's 200 metres Backstroke
337,Badminton,Badminton Women's Singles
338,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
339,Swimming,Swimming Women's 400 metres Individual Medley
340,Cycling,Cycling Men's 20 kilometres
341,Sailing,Sailing Mixed Skiff
342,Fencing,"Fencing Women's epee, Individual"
343,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
344,Rowing,Rowing Women's Coxless Fours
345,Diving,Diving Men's Synchronized Springboard
346,Swimming,Swimming Men's 100 metres Backstroke
347,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
348,Sailing,Sailing Men's Two Person Dinghy
349,Tennis,"Tennis Men's Doubles, Covered Courts"
350,Archery,Archery Men's Team
351,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
352,Judo,Judo Men's Half-Heavyweight
353,Art Competitions,Art Competitions Mixed Music
354,Cycling,Cycling Men's 100 kilometres
355,Synchronized Swimming,Synchronized Swimming Women's Duet
356,Taekwondo,Taekwondo Women's Heavyweight
357,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
358,Cycling,Cycling Men's 25 kilometres
359,Shooting,"Shooting Women's Air Pistol, 10 metres"
360,Swimming,"Swimming Men's 1,500 metres Freestyle"
361,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts"
362,Swimming,Swimming Men's 400 metres Individual Medley
363,Weightlifting,Weightlifting Women's Middleweight
364,Fencing,"Fencing Women's Foil, Individual"
365,Art Competitions,Art Competitions Mixed Literature
366,Cycling,Cycling Men's Team Sprint
367,Cycling,Cycling Men's Sprint
368,Swimming,Swimming Men's 200 metres Individual Medley
369,Athletics,Athletics Men's Standing Triple Jump
370,Swimming,Swimming Women's 200 metres Individual Medley
371,Canoeing,"Canoeing Men's Kayak Singles, 200 metres"
372,Athletics,Athletics Women's Heptathlon
